"name","aliases","region","category","is_niche","ticket_cny","shuttle_cny","altitude_m","visit_hours","best_time","road_requirement","signal","rating","recommendation","suggested_day","detour_note","ref_url"
"塔尔寺","衮本贤巴林、Kumbum Monastery、塔尔寺藏语""十万狮子吼佛像的弥勒寺""。","西宁","石窟/寺庙","0","70","","2670","2h","上午 09:00—11:00 人少、光线打在八宝如意塔正面最好看。9 月底—10 月初特别说明：本次行程 D1（9.25）中午才落地西宁取车、塔尔寺属于""可选加点""而非必选；若 D1 下午 15:00 前能出发、来回加游览需要 4 小时、会挤压市区采购补给时间。国庆当天（10.1—10.3）塔尔寺是…","全程高速+市道柏油路、轿车无压力。景区外围有多条""免费停车""揽客路、别停私人场。","满格 5G。","doc1 4.5｜顺路可去","顺路可去","D1 变体 / D11","","https://piao.qunar.com/"
"青海藏文化博物院","青海藏文化博物馆、藏医药文化博物馆（北馆）、藏医药馆。","西宁","博物馆/展馆","0","60","","2270","1.5-2h","室内馆、全天无差别。9 月底—10 月初特别说明：这是 D1（9.25）落地西宁下午最合适的填充项——doc3 实走团队正是 15:00 左右落地后直奔此馆（来源：doc3实走）。国庆期间室内馆比塔尔寺舒服得多。","市区柏油路、无要求。","满格。","🌟🌟 / （免费才给星）","顺路可去（D1 落地下午的最佳填充项）","D1 变体","",""
"西宁新千夜市 / 莫家街 / 水井巷","新千国际广场夜市、莫家街小吃街、水井巷市场。","西宁","城镇/夜市/美食","0","0","","2261","1-1.5h","19:00—21:00 最热闹。9 月底—10 月初特别说明：D1（9.25）晚上是本行程唯一从容的夜市时间、doc2 明确把""西宁水井巷/莫家街""排在 D1 的用餐项（来源：doc2）。D10（10.4）晚上返西宁约 20:00 到（来源：doc2）、赶得上但会很累。","市区、无要求。夜市周边停车紧张、建议打车。","满格。","免费好评","顺路强烈推荐（D1 晚上）","D1","",""
"拉脊山（宗喀拉则）· 可选","拉鸡山、宗喀拉则观景台。","西宁南","垭口/山口","1","0","","3820","1h","上午通透度最高。9 月底—10 月初特别说明：本次 12 天逆时针行程不经过拉脊山（青海湖走的是 G315/环湖西路方向）、去拉脊山需从西宁向南绕行、往返约 3 小时。仅在""D1 落地早 + 想加贵德""或""D11 有整天""时成立。","柏油盘山路、弯多坡陡、普通轿车可上、SUV 更从容；雨雪天有暗冰。","垭口有信号、部分弯道盲区。","顺路可去（可选）","需专门绕路约 3 小时","变体","","http://xn.bendibao.com/news/20241025/16443.shtm"
"黑泉水库","黑泉水库风景区、大通黑泉水库。","大通","水库","1","0","","2900-3000","20-30min","上午 10:00—12:00 侧光下湖水最绿。9 月底—10 月初特别说明：本次 D2（9.26）08:00 从西宁出发（来源：doc2）、约 09:30—10:00 经过黑泉水库、光线正好；doc3 实走团队是 10:00 出发、11:30 到达（来源：doc3实走）。","G227 柏油国道、路况好。注意：黑泉水库沿线大货车多、山路超车谨慎（来源：doc2）。","有信号。","🌟🌟🌟 / 🌟🌟🌟","顺路强烈推荐","D2","",""
"达坂山观景台（大坂山垭口）","大坂山观景台、达坂山垭口、大坂山隧道观景台。","大通—门源","垭口/山口","0","0","","3940","30min","上午通透。9 月底—10 月初特别说明：doc2 计划 09:30 到达（来源：doc2）。关键预期管理：doc3 团队 10 月中旬到访时""没怎么下雪、雪和山参杂着、不是很美""（来源：doc3实走）——9 月底大概率同样是""半雪不雪""的状态、不要期待纯白雪山。若 9 月底刚好有一场降雪、观感会完全…","G227 柏油国道盘山、弯多。10 月初可能降雪封路（来源：doc2 天气条目）；建议 SUV、关注""青海交通""公众号预警（来源：doc2）。","垭口有信号但弱。","🌟 / 🌟🌟","顺路可去（必经、免费、当休息站）","D2","",""
"门源（油菜花海 / 岗什卡雪峰方向）","门源回族自治县、门源百里油菜花海、青石嘴观景台。","海北","草原/花海","0","0","","2866","1h","9 月底—10 月初特别说明（重要）：油菜花已凋谢、花海只剩收割后的黑土地与残茬（来源：新浪财经 转引 research/B）。结论：门源在本次行程中降级为""吃饭+加油+看一眼达坂山北坡雪线""的功能点、不要买票。doc1 也标注门源油菜花""推荐（4 月底开花情况不稳定）""（来源：doc1）、同样说明…","G227 柏油国道、路况好。","县城满格。","doc1 4.0｜9月底已过花期","顺路可去（仅作为午餐/加油点）","D2","","https://finance.sina.com.cn/jjxw/2026-06-22/doc-iniefeae9304665.shtml"
"仙米国家森林公园 · 聚阳沟","仙米森林公园、聚阳沟景区、门仙公路彩林。","门源","森林","1","60","","2500-3000","2h","9 月底—10 月初就是它的巅峰期（9 月下旬—10 月中旬、来源：research/B）。下午 14:00—16:00 侧逆光穿过桦树叶时最金。本次 D2（9.26）13:30 抵达、时间点几乎完美。","门仙公路为柏油路、沿浩门河谷穿行、弯多但路况好；轿车可通行、SUV 更舒适。","河谷内间断有信号、部分路段弱。","顺路强烈推荐（秋色）","必去（本段最高性价比）","D2","","https://hk.trip.com/moments/theme/poi-xianmi-national-forest-park-18733301-flower-viewing-990796/"
"景阳岭垭口","景阳岭、景阳岭垭口观景台。","祁连","垭口/山口","1","0","","3767","15min","全天可停。9 月底—10 月初特别说明：3767m 在 10 月初早晚可能有薄雪/暗冰、通过时段建议排在 10:00—16:00。","柏油路、弯道多、坡陡；SUV 更稳。","弱。","顺路可去","顺路可去（必经、免费、15 分钟）","D2","",""
"卓尔山","卓尔山风景区、""东方小瑞士""、藏语""宗穆玛釉玛""。","祁连","山岳/雪峰","0","60","15","3000-3400","2h","清晨 08:00—10:00 光线打在牛心山正面且人最少。9 月底—10 月初特别说明：10 月初草原开始泛黄、雪山初显、色彩层次极佳（来源：research/B）——这是卓尔山一年中第二好的季节（第一是 7 月油菜花期）。本次 D3（9.27）08:20 入园的安排非常理想、是全程""错峰 + 好光…","柏油路直达山下、景区内换乘观光车上山（或步行 40 分钟）。","有信号。","必去","必去","D3","","https://hk.trip.com/moments/detail/qilian-120123-143211377/"
"祁连大草原 / 阿柔大寺","八宝草原、阿柔大寺（阿柔大寺又名""阿力克大寺""）。","祁连","草原/湿地","1","0","","2800-3200","1h","日落前 1.5 小时草原色温最暖。9 月底—10 月初特别说明：草已转金黄、牛羊仍在、是拍""金色草原 + 黑牦牛""的好时候；阿柔大寺在 10 月初游客极少。","S302 柏油路、路况好。","有信号、部分草原深处弱。","顺路强烈推荐","顺路强烈推荐（免费、就在 D3 卓尔山之后的路上）","D3","",""
"祁连 9 号公路（G213 祁连段）","Y9 公路、祁连山 9 号公路、祁连—扁都口方向景观道（现多与 G213 组合走）。","祁连—张掖","公路景观","0","0","","3500","3-4h（含车程）","10:00—16:00 通过。9 月底—10 月初特别说明（关键风险）：① G227 国道扁都口段封闭至 2027 年、往返张掖与祁连需改道 G213（来源：什么值得买 转引 research/B）；② 4000m+ 垭口 10 月初可能积雪冰冻、务必携带防滑链、租车选 SUV（来源：researc…","柏油路面、弯道极多、翻越高海拔垭口、建议 SUV（来源：research/B）。山路窄注意会车（来源：doc2）。","山区多段无信号、提前下载离线地图（来源：doc2）。","必走","必去（本身就是 D3 的行程主体）","D3","","https://post.m.smzdm.com/p/a708vkv5/"
