"day","date","weekday","theme","route","distance_km","drive_hours","play_hours","spots","spot_count","tickets","altitude_points","meals","hotel","hotel_price_cny","fuel_stop","signal_risk","notes_count","key_notes"
"1","2026-09-25","周五","上海✈西宁 取车+市区适应","上海 ✈ 西宁曹家堡机场 → 机场租车门店取车 → 西宁市区","30","0.6","2.0","西宁市区（莫家街/水井巷）","1","市区免费；可选 青海藏文化博物院60元/人、塔尔寺70元/人","西宁 2261m","西宁水井巷 / 莫家街（手抓羊肉、酿皮子、牦牛酸奶、甜醅）","桔子酒店·西宁城东万达广场店","273","取车时确认油量；西宁市区加满（西北多中石油少中石化）","市区满信号","7","机场取车后先采购补给：氧气瓶(西宁药店20-30元/罐)、高原安、干粮、水 | 前两天适应海拔：不洗澡、不喝酒、少剧烈运动 | 确认租车含不计免赔+轮胎险并索取24h救援电话"
"2","2026-09-26","周六","西宁→达坂山观景台→门源→仙米森林公园→祁连","西宁 ➜ 达坂山观景台 ➜ 门源 ➜ 仙米国家森林公园 ➜ 祁连","420","6.5","2.5","达坂山观景台 | 门源 | 仙米国家森林公园/聚阳沟","3","达坂山免费；门源路过免费（9月底油菜花已凋谢）；仙米森林免费·聚阳沟20元/人","西宁 2261m → 达坂山观景台 3940m → 门源 2866m → 仙米森林 2500-3000m → 祁连 2780m（景阳岭垭口 3767m）","门源县午餐（45min）；祁连晚餐 手抓羊肉","祁连宾馆","381","西宁出发前加满；门源可补充","G227 沿线基本有信号；达坂山垭口、仙米林区谷地间断","7","达坂山3940m只停20-30分钟 不剧烈运动 | 黑泉水库沿线大货车多 山路不超车 | 仙米/聚阳沟秋色是本日核心 9月下旬-10月中旬彩林巅峰 | 祁连山路段禁用辅助驾驶"
"3","2026-09-27","周日","祁连→卓尔山→祁连9号公路/二尕公路→肃南→张掖","祁连 ➜ 卓尔山 ➜ 祁连 9 号公路 ➜ 二尕公路 ➜ 肃南 ➜ 张掖","350","8.0","3.0","卓尔山 | 祁连9号公路/二尕公路观景 | 天山桥景区入口","3","卓尔山 60元/人 + 观光车 15元/人（research/B 另称 80 元含车·存在差异）；9号/二尕公路免费","祁连县城 2780m → 卓尔山 3300m → 祁连9号/二尕公路约 3500m（research/B 称垭口 4120m·存在差异）→ 肃南 2500m → 张掖 1483m","二尕公路路餐（自备干粮）；肃南县补给；晚餐 张掖味道美食街","星程酒店·张掖西站区政府店","381","祁连出发前加满（山区150km+少站）；肃南县补充","二尕公路 / 祁连9号公路山区段多段无信号、必须离线地图","8","出发前必须查9号公路与二尕公路封路情况(2026-07滑坡曾封闭 08-04解除) | 扁都口备选已失效：G227峨堡-扁都口全幅封闭至2027年 遇雨雪只能祁连多住一晚或走G0611+S302 | 山路窄注意会车 不在弯道超车 禁用辅助驾驶 | 卓尔山08:20开园即入 避开9-11点大巴高峰"
"4","2026-09-28","周一","张掖→七彩丹霞→(嘉峪关路过)→敦煌 · 全天最长车程日","张掖 ➜ 七彩丹霞 ➜ 嘉峪关方向路过 ➜ 瓜州 ➜ 敦煌","580","8.0","2.8","张掖七彩丹霞 | 嘉峪关（远观）","2","七彩丹霞 93元/人（含区间车·doc2口径54+20）；嘉峪关三景通票110元（本次仅路过不进）","张掖 1483m → 七彩丹霞 1800-2000m → 嘉峪关 1700m → 敦煌 1139m","嘉峪关/酒泉午餐（45min）；晚餐 敦煌沙洲夜市","汉庭酒店·敦煌沙洲夜市敦湖花园店","179","张掖出发前加满；嘉峪关/酒泉必须加满（嘉峪关→敦煌约390km）、瓜州可补充","G30 连霍高速全程有信号","9","全天580km最长车程 07:00发车 两名司机每2小时换手 | 七彩丹霞开园即入(07:40) 建议西门进 别踩地貌 | 嘉峪关只远观不进 保证20:00前到敦煌 | G30高速是全程最该用辅助驾驶的一天 | 大风沙尘概率约30% 关窗降速"
"5","2026-09-29","周二","敦煌全天：莫高窟→鸣沙山月牙泉→沙洲夜市 · 全程唯一纯玩日","莫高窟 ➜ 鸣沙山月牙泉 ➜ 沙洲夜市","30","0.5","7.5","莫高窟 | 鸣沙山·月牙泉 | 沙洲夜市","3","莫高窟 A 类 238元/人（B 类 100元）；鸣沙山月牙泉 110元/人（3天多次入）；沙洲夜市免费；骑骆驼约100-130元","敦煌 1139m；鸣沙山 1650m（doc3 写最高 1715m·存在差异）","沙洲夜市 驴肉黄面、烤羊排、杏皮水","汉庭酒店·敦煌沙洲夜市敦湖花园店（连住第 2 晚）","179","今日在敦煌市区把油加满（明日敦煌→大柴旦约380-500km 站极少）","市区满信号","11","莫高窟A票238元 迟到作废 按预约时段提前40-60分钟到数字展示中心 | 洞窟内严禁拍照 莫高窟禁飞无人机 | 鸣沙山16:30入园看日落(约19:20-19:30) 110元票3天多次入 | 上沙山一定走梯子 鞋套景区20元/双 外面15元/两双 | 今晚在敦煌把油加满 明天进无人区"
"6","2026-09-30","周三","敦煌→苏干湖→阿克塞石油小镇→黑独山→大柴旦 · 重新爬升到 3000m+","敦煌 ➜ 苏干湖 ➜ 阿克塞石油小镇 ➜ 黑独山 ➜ 大柴旦","500","8.0","2.5","苏干湖 | 阿克塞石油小镇 | 黑独山","3","苏干湖免费（2026 通告禁止徒步穿越仅远观）；阿克塞石油小镇 30元/人；黑独山免费含停车","敦煌 1139m → 苏干湖 2795m → 阿克塞 3000m → 当金山口 3648m → 黑独山 3200m → 大柴旦 3170m","阿克塞石油小镇午餐；晚餐 大柴旦选择少偏贵 备干粮","桔子酒店·大柴旦翡翠湖步行街店","266","敦煌出发前必须加满（最高级）；抵达大柴旦后加满","G215 阿克塞—当金山—大柴旦段信号弱、苏干湖信号差、离线地图必须提前下好","9","重大不确定性：G215当金山K628-K670水毁后仅应急通行(限时09:00-20:00 曾仅允许青海→阿克塞单向) 若管制维持须改走G3011柳格高速 黑独山挪到D7早晨 | 敦煌出发前必须把油加满 全段加油站极少 | 当金山盘山限速40-60 禁用辅助驾驶 下坡用发动机降挡控速 | 今晚睡大柴旦3170m 是全程高反第一风险点 禁酒禁洗澡早睡 睡前测血氧 | 苏干湖仅可远观 禁止徒步穿越"
"7","2026-10-01","周四","大柴旦→翡翠湖→水上雅丹→315 U型公路→格尔木 · 国庆首日在无人区天然错峰","大柴旦 ➜ 翡翠湖 ➜ 乌素特水上雅丹 ➜ 315 U 型公路 ➜ 格尔木","500","8.0","3.8","大柴旦翡翠湖 | 乌素特水上雅丹 | 315 U型公路","3","翡翠湖 50-60元/人 + 小火车 60元/人；水上雅丹 60-120元/人 + 观光车 60元/人（存在差异）；U型公路免费","大柴旦 3170m → 翡翠湖 3170m（doc3 写3150m）→ 水上雅丹 2800m → U型公路约 3000m → 格尔木 2780m","格尔木市区；中途无餐饮 必须带干粮","宜必思酒店·格尔木八一路昆仑广场店","179","大柴旦出发前加满（最高级）；加油只在大柴旦/格尔木","全程最差：G315 大部分路段信号极弱或完全无服务、必须离线地图","10","U型公路严禁路面停车拍照 罚200元记3分 只在合法观景台停 | 全程无信号+加油只在大柴旦和格尔木 出发前加满油并下好离线地图 | 翡翠湖07:30出发08:00到 早晨无风才有镜面倒影 | 建议把顺序调整为翡翠湖(晨)→水上雅丹(午)→东台吉乃尔湖(傍晚) 东台是doc3全程口碑最高的免费点 | 备足干粮与3天水 盐湖无人机需报备"
"8","2026-10-02","周五","格尔木→无极龙凤宫→昆仑山口→玉虚峰→西王母瑶池→格尔木 · 全程海拔最高日","格尔木 ➜ 无极龙凤宫 ➜ (不冻泉) ➜ 昆仑山口 ➜ 玉虚峰观景点 ➜ 西王母瑶池 ➜ 格尔木","400","7.0","2.2","无极龙凤宫 | 不冻泉 | 昆仑山口 | 玉虚峰观景点 | 西王母瑶池","5","全部免费（无极龙凤宫/不冻泉/昆仑山口/玉虚峰/瑶池）","格尔木 2780m → 昆仑山口 4767m（全程最高）→ 玉虚峰 6178m（远眺）→ 西王母瑶池 4300m → 返格尔木 2780m","格尔木市区；全天路上无餐饮 必须带足干粮和热水","宜必思酒店·格尔木八一路昆仑广场店（连住第 2 晚）","179","格尔木出发前加满（往返 400km、G109 沿线加油站稀少）","G109 主干道部分有信号；瑶池支线基本无信号","10","出发前测血氧 任何人低于90%都不上山 留格尔木休整 | 昆仑山口4767m停留20-30分钟为硬上限 慢走不跑不跳不搬重物 | 羽绒服+手套+帽子穿好再下车 山口可能降雪大风 | 瑶池支线路况极差需SUV且基本无信号 有人头痛就当场掉头返格尔木 | G109冻土波浪路+大货车多 全程手动驾驶不用辅助 | 封路或降雪就直接取消当日往返 改格尔木市内休整"
"9","2026-10-03","周六","格尔木→察尔汗盐湖→德令哈 · 最轻松的驾驶日之一","格尔木 ➜ 察尔汗盐湖 ➜ 德令哈","270","5.0","2.5","察尔汗盐湖","1","察尔汗盐湖 60元/人 + 观光车30元或大巴40元（research/A 称102元含车·存在差异）","格尔木 2780m → 察尔汗 2680m → 德令哈 2980m","格尔木方向午餐/补给（40min）；晚餐 德令哈市区选择多","全季酒店·德令哈巴音河畔店","281","格尔木出发前加满油；抵达德令哈后加满（德令哈→茶卡约200km 站稀）","察尔汗景区有信号；G315 格尔木—德令哈段基本有信号","6","察尔汗最晒 UV400偏光墨镜必备 | 无人机须到游客中心签字报备 | 格尔木出发前加满油 德令哈到达后再加满 | 本日车程短 是D8高海拔后的恢复日 可补觉 | 建议补入托素湖与海子诗歌陈列馆(免费 10:00-17:30关门)"
"10","2026-10-04","周日","德令哈→茶卡盐湖→青海湖→西宁 还车 · 逆时针最大代价日","德令哈 ➜ 茶卡盐湖 ➜ 黑马河 ➜ 环湖西路 ➜ 西宁","500","8.0","3.0","茶卡盐湖 | 东格尔观景台 | 黑马河 | 环湖西路观景","4","茶卡盐湖 60元/人 + 小火车单程50元/人；青海湖环湖西路免费（二郎剑90元/仙女湾60元 本次不进）","德令哈 2980m → 茶卡 3059m → 青海湖 3196m → 西宁 2261m","黑马河附近午餐（40min）；晚餐 西宁市区（莫家街手抓羊肉、酿皮、甜醅）","桔子酒店·西宁城东万达广场店","327","德令哈出发前加满；还车前按租车合同要求加满","G315/G109 沿线基本有信号；环湖西路部分路段弱","11","建议提前到07:00出发 争取上午到茶卡 否则下午逆光 | 茶卡退出规则：早7点看天 风大或阴天直接跳过 时间给青海湖 | 环湖G109区间测速极严 主动按70km/h匀速 | 10.4是顺时针大军返程日 G109西宁方向下午易堵 早出发 | 茶卡穿鞋套并停官方停车场 环湖西路牧民草场不可私闯 | 还车前按合同加满油 当晚或次日上午还车"
